id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
29059,Lovely studio Quartier Latin,125031,Maryline,,Ville-Marie,45.51939,-73.56482,Entire home/apt,95,2,410,2023-03-31,2.63,2,253,52,267153
29061,Maison historique - Quartier Latin,125031,Maryline,,Ville-Marie,45.51929,-73.56493,Entire home/apt,339,3,113,2022-12-30,0.83,2,220,25,267153
34715,Chez Patrac ! Montreal - Métro Beaubien,149769,Alain,,Rosemont-La Petite-Patrie,45.53818,-73.6036,Entire home/apt,160,14,9,2022-11-18,0.06,1,18,2,261026
36301,Romantic & peaceful Plateau  loft,381468,Sylvie,,Le Plateau-Mont-Royal,45.53026,-73.58413,Entire home/apt,160,32,47,2023-03-05,0.49,7,228,5,
46626,Beautiful! Charming! Spacious! Rooms!,208453,Maureen,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.47012,-73.60725,Private room,65,3,43,2023-01-01,0.30,2,256,19,305995
50479,L'Arcade Douce  One bedroom apartment,231694,Noemie,,Rosemont-La Petite-Patrie,45.54157,-73.60737,Entire home/apt,94,3,220,2023-04-04,1.44,2,7,48,271530
66276,Comfy #Airbnb with WIFI,324569,Anna,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.4625,-73.62825,Entire home/apt,40,31,38,2015-11-15,0.26,2,222,0,
70489,Ultra Luxurious - City Center,145990,Marc Andre,,Ville-Marie,45.5019,-73.56354,Entire home/apt,90,31,3,2014-09-08,0.03,1,155,0,
70801,"Large, sunny house with garden near Old MTL",294382,Jennifer&Steeve,,Le Sud-Ouest,45.47812,-73.55698,Entire home/apt,375,3,27,2022-09-08,0.19,1,46,2,310728
73171,Romantic garden studio in Plateau,381468,Sylvie,,Le Plateau-Mont-Royal,45.52891,-73.58219,Entire home/apt,110,32,84,2022-01-08,0.58,7,16,0,
85267,Country feeling loft in Plateau,381468,Sylvie,,Le Plateau-Mont-Royal,45.52946,-73.58206,Entire home/apt,150,32,35,2023-03-04,0.24,7,317,6,
99859,Plateau Charm,525486,Sesaye,,Le Plateau-Mont-Royal,45.51856,-73.57756,Entire home/apt,232,31,44,2023-01-01,0.30,1,305,14,
104554,Large apartment in the heart of Mile end,543969,Victoria,,Le Plateau-Mont-Royal,45.52403,-73.60176,Entire home/apt,123,3,87,2023-02-28,0.60,1,0,8,307546
107860,Room with Single Bed,528512,Jen,,Le Plateau-Mont-Royal,45.52508,-73.58719,Private room,21,90,145,2022-12-19,1.00,2,191,2,
116931,Nice room with queen sized bed,528512,Jen,,Le Plateau-Mont-Royal,45.5243,-73.58681,Private room,21,110,123,2022-08-31,0.85,2,197,1,
135275,"Charming aparthotel, little Italie",520966,Myriam,,Villeray-Saint-Michel-Parc-Extension,45.53971,-73.61943,Entire home/apt,99,60,72,2019-12-28,0.50,2,175,0,
137443,"Apt + garden (Mile End, Plateau) / # CiTQ 310398",656725,Christophe,,Le Plateau-Mont-Royal,45.52663,-73.60145,Entire home/apt,139,1,49,2023-04-02,0.36,1,89,10,310398
1296772,2 steps from JeanTalonSubway&Market,2148392,Vicente,,Villeray-Saint-Michel-Parc-Extension,45.53941,-73.61949,Entire home/apt,65,32,30,2022-12-19,0.25,1,84,5,
1320736,Very charming apt plateau - Park,4641329,Pierrette,,Le Plateau-Mont-Royal,45.53434,-73.58697,Entire home/apt,145,31,44,2023-04-12,0.37,3,256,6,307396
616760,lovely apt. at Parc Laurier,3055612,Lise,,Le Plateau-Mont-Royal,45.52976,-73.58744,Entire home/apt,85,2,57,2022-08-31,0.44,1,183,8,310331
142722,Charming studio in Plateau heart,381468,Sylvie,,Le Plateau-Mont-Royal,45.52851,-73.58224,Entire home/apt,110,32,123,2022-12-22,0.86,7,273,3,
157425,4 bedroom home in Mile-end/Plateau,756145,Emmanuel,,Le Plateau-Mont-Royal,45.51802,-73.59055,Entire home/apt,220,2,29,2023-03-13,0.21,3,106,11,263966
160600,Quiet 1000 sq.ft - 5 rooms + 2 balconies,324569,Anna,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46248,-73.63008,Entire home/apt,82,31,25,2023-01-13,0.18,2,216,2,
160639,Cosy Studio apartment,38398,Omar,,Rosemont-La Petite-Patrie,45.54512,-73.59808,Entire home/apt,90,186,16,2019-11-30,0.11,1,358,0,
1331571,Cozy & bright apartment in the Plateau Mont-Royal,38016,Philippe,,Le Plateau-Mont-Royal,45.53086,-73.57776,Entire home/apt,120,2,19,2023-04-10,0.16,1,8,10,307397
1331679,Large 214 square foot room with 2 bicycles,7223348,Jason,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49181,-73.6294,Private room,33,32,85,2022-08-20,0.72,11,0,3,
